order_id,delivery_time
0x7901ee,2019-01-16 19:33:00
0x12b47f,2019-09-04 13:09:00
0x6d6979,2019-03-18 01:10:00
0x78dd1e,2019-09-22 00:58:00
0x4df8ab,2019-01-17 12:15:00
0x3be6d3,2019-12-21 01:51:00
0x755a0b,2019-08-11 19:45:00
0x653685,2019-11-20 01:25:00
0x44fe1b,2019-09-25 01:01:00
0x8ade21,2019-05-03 20:25:00
0x22d9e8,2019-03-25 00:43:00
0x76d399,2019-01-19 14:14:00
0x69e779,2019-07-01 01:19:00
0x6cfd99,2019-07-14 19:55:00
0x5886e5,2019-01-25 20:46:00
0x53a852,2019-10-22 13:38:00
0x19b8a0,2019-03-24 14:28:00
0x62dd0c,2019-10-16 17:35:00
0x7b4e8a,2019-09-04 01:01:00
0x186780,2019-10-01 17:41:00
0x3b8b00,2019-11-06 12:53:00
0x77c96c,2019-08-12 00:26:00
0x70a0d1,2019-02-07 14:45:00
0x12245a,2019-08-20 18:39:00
0x6fc38e,2019-04-14 13:52:00
0x7eee03,2019-03-26 20:14:00
0x8bfd90,2019-06-02 00:47:00
0x62f2a4,2019-07-27 12:50:00
0x8976fe,2019-04-13 21:05:00
0x493421,2019-09-13 19:40:00
0x76d41d,2019-03-22 00:57:00
0x2f55d5,2019-10-03 13:39:00
0x41149a,2019-04-02 18:05:00
0x6d9929,2019-09-23 01:55:00
0x264030,2019-02-15 01:43:00
0x7aaae2,2019-02-28 12:56:00
0x1260b6,2019-01-15 12:29:00
0x53b53f,2019-03-07 13:27:00
0x6d0dea,2019-03-24 00:46:00
0x779dc3,2019-04-11 01:19:00
0x79b88a,2019-12-15 00:15:00
0x11b66f,2019-07-15 12:37:00
0x7a7f18,2019-08-13 18:22:00
0x3312b8,2019-08-16 12:58:00
0x39c4e7,2019-03-08 01:08:00
0x638d97,2019-03-11 13:47:00
0x73976c,2019-09-15 14:09:00
0x5dcac2,2019-05-23 13:53:00
0x86159a,2019-08-05 19:57:00
0x709a2f,2019-02-06 01:53:00
0x966c57,2019-02-21 20:07:00
0x5cccd9,2019-10-31 01:24:00
0x4b7d46,2019-10-21 01:56:00
0x570bd9,2019-06-21 01:21:00
0x122fb1,2019-11-20 19:16:00
0x2b9298,2019-03-09 11:57:00
0x5ee873,2019-01-08 13:35:00
0x38230d,2019-02-01 00:13:00
0x721556,2019-12-19 01:46:00
0x8adf1b,2019-11-24 19:30:00
0x98051f,2019-11-20 01:02:00
